project_id,mibig_number,link_type,ms2_filename,ms2_local_path,genome_label,genome_accession,genome_fasta_path,genome_gbk_path,fasta_error,gbk_error
a4837d37-1df1-4153-b365-c06841574235,,single molecule,70-FeMeOHGarerun.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/70-FeMeOHGarerun.mzXML,Nocardia gamkensis NBRC 108242,NZ_BDBM00000000.1,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/genes/NZ_BDBM00000000.1.gbk,empty response (no sequence data at this accession),
a4837d37-1df1-4153-b365-c06841574235,,single molecule,79-FeMeOHGa.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/79-FeMeOHGa.mzXML,Nocardia alba NBRC 108234,NZ_BDAX00000000.1,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/genes/NZ_BDAX00000000.1.gbk,empty response (no sequence data at this accession),
aa13b370-2bff-43aa-b0b1-5671716bdb5c,BGC0000426,single molecule,Sevadicin_HCD.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/aa13b370-2bff-43aa-b0b1-5671716bdb5c/Sevadicin_HCD.mzXML,Paenibacillus larvae subsp. larvae DSM 25430,NC_023134.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/aa13b370-2bff-43aa-b0b1-5671716bdb5c/genes/NC_023134.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/aa13b370-2bff-43aa-b0b1-5671716bdb5c/genes/NC_023134.1.gbk,,
aa886b1a-320f-4567-bf22-b45c3d24a4cc,BGC0002061,single molecule,EH_2014_06_18_WT_colony2.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/aa886b1a-320f-4567-bf22-b45c3d24a4cc/EH_2014_06_18_WT_colony2.mzXML,N. punctiforme PCC 73102,CP001037.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/aa886b1a-320f-4567-bf22-b45c3d24a4cc/genes/CP001037.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/aa886b1a-320f-4567-bf22-b45c3d24a4cc/genes/CP001037.1.gbk,,
aa886b1a-320f-4567-bf22-b45c3d24a4cc,,single molecule,EH_2014_06_18_WT_colony2.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/aa886b1a-320f-4567-bf22-b45c3d24a4cc/EH_2014_06_18_WT_colony2.mzXML,N. punctiforme PCC 73102,CP001037.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/aa886b1a-320f-4567-bf22-b45c3d24a4cc/genes/CP001037.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/aa886b1a-320f-4567-bf22-b45c3d24a4cc/genes/CP001037.1.gbk,,
aa886b1a-320f-4567-bf22-b45c3d24a4cc,,single molecule,EH_2014_06_18_WT_colony2.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/aa886b1a-320f-4567-bf22-b45c3d24a4cc/EH_2014_06_18_WT_colony2.mzXML,N. punctiforme PCC 73102,CP001037.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/aa886b1a-320f-4567-bf22-b45c3d24a4cc/genes/CP001037.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/aa886b1a-320f-4567-bf22-b45c3d24a4cc/genes/CP001037.1.gbk,,
b11e7516-d407-4c28-987f-4f8f86a16c55,BGC0002016,single molecule,MM-WT_1-10_P1-G-2_01_35627.mzML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/b11e7516-d407-4c28-987f-4f8f86a16c55/MM-WT_1-10_P1-G-2_01_35627.mzML,Streptomyces sp. QL37,GCA_002941025,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/b11e7516-d407-4c28-987f-4f8f86a16c55/genes/GCA_002941025.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/b11e7516-d407-4c28-987f-4f8f86a16c55/genes/GCA_002941025.gbk,,
c66bdb4d-ddad-4684-8dc4-12cf225930c5,BGC0001792,single molecule,R5_unlab_J1074_pre.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/R5_unlab_J1074_pre.mzXML,Streptomyces albus J1074,NC_020990.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/genes/NC_020990.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/genes/NC_020990.1.gbk,,
c66bdb4d-ddad-4684-8dc4-12cf225930c5,BGC0001792,single molecule,ISP2_unlab_J1074_pre.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/ISP2_unlab_J1074_pre.mzXML,Streptomyces albus J1074,NC_020990.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/genes/NC_020990.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/genes/NC_020990.1.gbk,,
c66bdb4d-ddad-4684-8dc4-12cf225930c5,BGC0001792,GNPS molecular family,A1_unlab_J1074.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/A1_unlab_J1074.mzXML,Streptomyces albus J1074,NC_020990.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/genes/NC_020990.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/genes/NC_020990.1.gbk,,
c66bdb4d-ddad-4684-8dc4-12cf225930c5,BGC0001792,single molecule,R5_unlab_J1074_pre.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/R5_unlab_J1074_pre.mzXML,Streptomyces albus J1074,NC_020990.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/genes/NC_020990.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/genes/NC_020990.1.gbk,,
c66bdb4d-ddad-4684-8dc4-12cf225930c5,BGC0001792,single molecule,R5_unlab_J1074_pre.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/R5_unlab_J1074_pre.mzXML,Streptomyces albus J1074,NC_020990.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/genes/NC_020990.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c66bdb4d-ddad-4684-8dc4-12cf225930c5/genes/NC_020990.1.gbk,,
c86fdc82-0d18-45d0-aa30-1f877c1cd3fc,BGC0001476,single molecule,38640_SN_72h_M8.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c86fdc82-0d18-45d0-aa30-1f877c1cd3fc/38640_SN_72h_M8.mzXML,Streptomyces sp. ID38640,CP049782,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c86fdc82-0d18-45d0-aa30-1f877c1cd3fc/genes/CP049782.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/c86fdc82-0d18-45d0-aa30-1f877c1cd3fc/genes/CP049782.gbk,,
