podp_id,study_id,study_role,study_members,record_type,data_status,missing_files,file_genome,path_genome,status_genome,file_ms2_run,path_ms2_run,ms2_run_url,genome_label,genome_accession,genome_accession_type,biosample_accession,genome_publications,gnps_massive_id,gnps_task_id,sample_preparation_label,extraction_method_label,instrumentation_method_label,n_genomes_declared,metcalf_rankable
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_B8_BB8_01_6307.mzXML,SC36_Caries,SRR7448303,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_B9_BB9_01_6308.mzXML,SC37_Caries,SRR7448300,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_B10_BB10_01_6309.mzXML,SC38_Caries,SRR7448323,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_B11_BB11_01_6310.mzXML,SC39_Caries,SRR7448322,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_B12_BB12_01_6311.mzXML,SC40_Caries,SRR7448321,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_C10_BC10_01_6322.mzXML,SC41_Healthy,SRR7448298,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_C11_BC11_01_6323.mzXML,SC42_Healthy,SRR7448299,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_C12_BC12_01_6324.mzXML,SC43_Healthy,SRR7448296,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_D1_BD1_01_6326.mzXML,SC44_Healthy,SRR7448310,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_D2_BD2_01_6327.mzXML,SC45_Healthy,SRR7448309,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
