#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
234	specs_ms.mgf	*..*		:5	437	-1	0	261.124	1	0.754134	467.743	0	37381.0	26996.5	cyclo(Phe-4-hydroxy-Pro) M+H	GNPS-LIBRARY	temp/specs_ms.mgf234	-1	GNPS-LIBRARY.mgf	3.97358				9	0	0.0010376	261.123	0	CCMSLIB00000007118
437	specs_ms.mgf	*..*		:1146	4608	-1	0	498.288	1	0.752503	604.301	0	488421.0	20520.3	(((3a,7a,12b)-3,7,12-trihydroxy-24-oxocholan-24-yl)amino)ethanesulfonic acid M-H2O+H	BILELIB19	temp/specs_ms.mgf437	-1	BILELIB19.mgf	0.367469				11	0	0.000183105	498.288	0	CCMSLIB00011429941
392	specs_ms.mgf	*..*		:30	841	-1	0	448.305	1	0.743677	549.483	0	775082.0	17868.2	GLYCOCHOLATE M-H2O+H	GNPS-MSMLS	temp/specs_ms.mgf392	-1	GNPS-MSMLS.mgf	1.83798				17	0	0.000823975	448.306	0	CCMSLIB00005464592
241	specs_ms.mgf	*..*		:4167	4167	-1	0	267.531	1	0.741579	188.645	0	242407000.0	9993.7	Adenosine - 40.0 eV Unknown	BIRMINGHAM-UHPLC-MS-POS	temp/specs_ms.mgf241	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	2274.81				6	0	0.608582	268.14	0	CCMSLIB00006119720
486	specs_ms.mgf	*..*		:1663	1971	-1	0	538.281	1	0.738861	608.029	0	543878.0	10868.4	Spectral Match to Taurocholic acid from NIST14 M+Na	GNPS-NIST14-MATCHES	temp/specs_ms.mgf486	-1	GNPS-NIST14-MATCHES.mgf	1.36067				10	0	0.000732422	538.28	0	CCMSLIB00003136458
441	specs_ms.mgf	*..*		:196	196	-1	0	500.304	1	0.737369	734.221	0	2150650.0	9076.4	Sodium taurochenodeoxycholate - 40.0 eV Unknown	BIRMINGHAM-UHPLC-MS-POS	temp/specs_ms.mgf441	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	1.76894				8	0	0.00088501	500.303	0	CCMSLIB00006113073
511	specs_ms.mgf	*..*		:24605	43068	-1	0	569.186	1	0.73228	871.024	0	156.726	22937.7	5-methoxy-3-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-3H-benzo[f][2]benzofuran-1-one [M+H]+	MONA	temp/specs_ms.mgf511	-1	MONA.mgf	2168.67				6	0	1.23438	570.42	0	CCMSLIB00004715668
251	specs_ms.mgf	*..*		:7704	7704	-1	0	282.134	1	0.731902	436.787	0	4200350.0	12032.9	o-acetyl threonine_p-Anisaldehyde (known isomers: 0; isobaric peaks in run: 5) [M+H]+	GNPS-ALKYLAMINES-LIBRARY	temp/specs_ms.mgf251	-1	GNPS-ALKYLAMINES-LIBRARY.mgf	3621.21				6	0	1.02167	281.112	0	CCMSLIB00016350731
390	specs_ms.mgf	*..*		:1229	71	-1	0	448.306	1	0.731608	551.099	0	10468200.0	24252.7	glycocholic acid M-H2O+H	BILELIB19	temp/specs_ms.mgf390	-1	BILELIB19.mgf	0.408439				15	0	0.000183105	448.306	0	CCMSLIB00005435514
215	specs_ms.mgf	*..*		:6218	11577	-1	0	231.134	1	0.731268	342.02	0	4121050.0	7384.5	Proline  2M+H	GNPS-LIBRARY	temp/specs_ms.mgf215	-1	GNPS-LIBRARY.mgf	8566.11				6	0	1.97992	229.154	0	CCMSLIB00009918988
393	specs_ms.mgf	*..*		:1229	71	-1	0	448.306	1	0.724478	550.579	0	10468200.0	24749.5	glycocholic acid M-H2O+H	BILELIB19	temp/specs_ms.mgf393	-1	BILELIB19.mgf	0.0680731				14	0	3.05176e-05	448.306	0	CCMSLIB00005435514
479	specs_ms.mgf	*..*		:1857	51098	-1	0	533.326	1	0.724475	604.493	0	277.0	35281.8	TAUROCHOLIC ACID M+NH4	MONA	temp/specs_ms.mgf479	-1	MONA.mgf	1.25887				16	0	0.000671387	533.325	0	CCMSLIB00006680127
555	specs_ms.mgf	*..*		:7998	10730	-1	0	625.551	1	0.722508	1029.01	0	8674200.0	18011.5	OL (32:0) M+H	GNPS-LIBRARY	temp/specs_ms.mgf555	-1	GNPS-LIBRARY.mgf	14.2453				11	0	0.00891113	625.56	0	CCMSLIB00006678144
89	specs_ms.mgf	*..*		:6275	23334	-1	0	136.11	1	0.721143	199.171	0	20812.7	18125.3	2,4,6-trimethylaniline [CCS=136.8988494873047] [M+H]+	GNPS-ION-MOBILITY-LIBRARY	temp/specs_ms.mgf89	-1	GNPS-ION-MOBILITY-LIBRARY.mgf	355.938				6	0	0.0484467	136.062	0	CCMSLIB00017432750
453	specs_ms.mgf	*..*		:1678	1790	-1	0	516.299	1	0.720366	607.646	0	466421.0	12607.5	Spectral Match to Taurocholic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/specs_ms.mgf453	-1	GNPS-NIST14-MATCHES.mgf	0.472867				14	0	0.000244141	516.299	0	CCMSLIB00003136277
367	specs_ms.mgf	*..*		:17326	35789	-1	0	432.151	1	0.71855	444.064	0	258.241	52882.6	3-[3-[3,4-dihydroxy-5-(6-oxo-3H-purin-9-yl)oxolan-2-yl]propanoyl]benzoic acid [M+NH4]+	MONA	temp/specs_ms.mgf367	-1	MONA.mgf	297.442				7	0	0.12854	432.28	0	CCMSLIB00004708389
