podp_id,genome_label,genome_type,metabolomics_file,gnps_massive_id,same_experiment,slice
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_MA_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_MA_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_PDK_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_PDK_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_PDK_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_YP_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_YP_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_YP_E.mzXML,MSV000078847,True,unvalidated_pairs
0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1,Nonomuraea sp. ATCC39727 (gerenzaniensis),genome,ftp://massive.ucsd.edu/MSV000085123/peak/Nonomuraea_A40926.mzML,MSV000085123,True,validated_pairs
0fa2c5fc-d1ce-431a-8445-fa3b6573e240.1,Microbispora sp. ATCC PTA-5024,genome,ftp://massive.ucsd.edu/MSV000085123/peak/Microbispora_NAI107.mzML,MSV000085123,True,validated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNB091,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/A1//CNB091_A1_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNB091,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/A1//CNB091_A1_M.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNB091,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/A1//CNB091_A1_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNB091,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/MS/CNB091_MS_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNB091,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/MS/CNB091_MS_M.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNB091,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/MS/CNB091_MS_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNB091,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNB091_R5_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNB091,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNB091_R5_M.mzXML,MSV000078839,True,unvalidated_pairs
