CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
21	84	-14.016	0.000	0.7323	0.7718	1
21	88	-14.019	0.000	0.7345	0.6626	1
21	95	-18.961	0.000	0.7238	0.7019	1
21	108	-25.979	0.000	0.7141	0.6373	1
21	144	-48.005	0.000	0.7099	0.7628	1
21	145	-48.000	0.000	0.7246	0.6463	1
21	146	-48.004	0.000	0.7113	0.7322	1
22	23	0.000	0.000	0.8871	0.8297	1
22	24	-0.000	0.000	0.8171	0.7493	1
22	26	-0.000	0.000	0.8002	0.6697	1
22	31	-1.995	0.000	0.7133	0.6970	1
22	32	-1.998	0.000	0.7172	0.7344	1
22	38	-2.979	0.000	0.7408	0.7168	1
22	66	-12.037	0.000	0.7049	0.6916	1
22	68	-12.963	0.000	0.7914	0.7144	1
22	69	-12.963	0.000	0.7726	0.7059	1
22	70	-13.844	0.000	0.7046	0.5752	1
22	84	-14.016	0.000	0.7356	0.7351	1
22	86	-14.016	0.000	0.7114	0.5745	1
22	89	-17.976	0.000	0.7437	0.7559	1
22	90	-17.976	0.000	0.7917	0.8030	1
22	92	-17.990	0.000	0.7011	0.6901	1
22	95	-18.961	0.000	0.8293	0.6985	1
22	98	-20.005	0.000	0.7667	0.7476	1
22	99	-20.005	0.000	0.8299	0.7731	1
22	148	-48.001	0.000	0.7022	0.6590	1
22	163	-62.018	0.000	0.7109	0.6378	1
22	164	-63.995	0.000	0.7214	0.6281	1
23	24	-0.000	0.000	0.8995	0.8132	1
23	26	-0.000	0.000	0.7180	0.6245	1
23	31	-1.995	0.000	0.7124	0.7493	1
23	38	-2.979	0.000	0.7055	0.7077	1
23	44	-4.958	0.000	0.7168	0.5987	1
23	68	-12.963	0.000	0.7457	0.7405	1
23	69	-12.963	0.000	0.7826	0.7257	1
23	70	-13.844	0.000	0.7179	0.5938	1
23	78	-14.016	0.000	0.7032	0.6248	1
23	84	-14.016	0.000	0.7012	0.7259	1
23	86	-14.016	0.000	0.7121	0.5756	1
23	90	-17.976	0.000	0.7354	0.7634	1
23	92	-17.990	0.000	0.7011	0.7634	1
23	95	-18.961	0.000	0.8172	0.6747	1
23	98	-20.005	0.000	0.7028	0.7508	1
23	99	-20.005	0.000	0.8346	0.8380	1
23	141	-46.968	0.000	0.7174	0.7343	1
24	95	-18.961	0.000	0.7942	0.6657	1
24	99	-20.005	0.000	0.7616	0.7463	1
25	52	-10.980	0.000	0.7185	0.7342	1
25	63	-12.000	0.000	0.7066	0.6711	1
25	64	-12.000	0.000	0.7422	0.6910	1
25	74	-14.023	0.000	0.8604	0.5371	1
25	76	-14.016	0.000	0.7897	0.5379	1
25	77	-14.018	0.000	0.8101	0.6205	1
25	79	-14.016	0.000	0.7253	0.6565	1
25	80	-14.022	0.000	0.9229	0.5375	1
25	81	-14.016	0.000	0.8742	0.5977	1
25	82	-14.018	0.000	0.8160	0.6680	1
25	83	-14.021	0.000	0.8001	0.5649	1
25	88	-14.019	0.000	0.7978	0.5349	1
25	108	-25.979	0.000	0.7254	0.4445	1
25	109	-25.979	0.000	0.7084	0.4986	1
25	145	-48.000	0.000	0.7228	0.4319	1
25	201	-99.069	0.000	0.7942	0.5491	1
26	67	-12.880	0.000	0.7361	0.7477	1
26	71	-13.843	0.000	0.7123	0.6395	1
26	78	-14.015	0.000	0.7302	0.6829	1
26	79	-14.016	0.000	0.7327	0.6650	1
26	84	-14.015	0.000	0.7808	0.7459	1
26	85	-14.017	0.000	0.7371	0.7946	1
26	86	-14.016	0.000	0.7057	0.6067	1
26	87	-14.016	0.000	0.7235	0.5358	1
26	88	-14.019	0.000	0.7040	0.6141	1
26	95	-18.961	0.000	0.7112	0.6540	1
27	28	0.000	0.000	0.8472	0.7563	1
27	43	-2.919	0.000	0.7132	0.5610	1
27	97	-18.010	0.000	0.7499	0.6220	1
28	96	-18.010	0.000	0.7373	0.7117	1
28	97	-18.010	0.000	0.8199	0.6525	1
29	31	-0.000	0.000	0.7261	0.6864	1
29	33	-0.006	0.000	0.7716	0.7402	1
29	34	-0.000	0.000	0.8576	0.7065	1
29	35	-0.002	0.000	0.7956	0.7390	1
29	36	-0.002	0.000	0.8381	0.7637	1
29	37	0.000	0.000	0.7401	0.7202	1
29	38	-0.984	0.000	0.7546	0.7409	1
29	39	-2.017	0.000	0.8422	0.7555	1
29	40	-2.017	0.000	0.7592	0.6122	1
29	68	-10.968	0.000	0.7493	0.6474	1
29	89	-15.981	0.000	0.8138	0.8344	1
29	90	-15.981	0.000	0.7309	0.7633	1
29	91	-15.981	0.000	0.7330	0.7479	1
29	93	-16.965	0.000	0.7371	0.7718	1
29	98	-18.010	0.000	0.7392	0.7639	1
29	110	-24.995	0.000	0.7075	0.5910	1
29	143	-46.006	0.000	0.7701	0.6895	1
29	145	-46.005	0.000	0.7162	0.6997	1
29	147	-46.011	0.000	0.7596	0.7560	1
29	148	-46.006	0.000	0.7824	0.6829	1
29	149	-46.009	0.000	0.7806	0.7111	1
30	31	0.004	0.000	0.9359	0.8628	1
30	32	0.001	0.000	0.9783	0.8856	1
30	33	-0.002	0.000	0.8412	0.8064	1
30	34	0.004	0.000	0.8271	0.7641	1
30	35	0.002	0.000	0.8447	0.8221	1
30	36	0.002	0.000	0.7917	0.8160	1
30	38	-0.980	0.000	0.9035	0.8642	1
30	44	-2.959	0.000	0.7142	0.6219	1
30	68	-10.964	0.000	0.7957	0.7268	1
30	69	-10.964	0.000	0.8602	0.7055	1
