CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
385	431	12	0.8831	-44.026
385	481	12	0.8769	-88.060
341	420	12	0.8953	-79.971
342	420	12	0.8895	-79.973
373	420	12	0.8916	-44.026
420	462	12	0.8883	-44.026
386	431	12	0.8835	-44.026
386	574	12	0.8591	-220.131
341	431	12	0.8808	-88.050
342	431	12	0.8903	-88.052
373	431	12	0.8819	-52.104
431	481	12	0.9043	-44.034
419	464	12	0.8042	-44.026
464	508	12	0.8058	-44.027
419	463	12	0.7962	-44.026
419	508	12	0.7814	-88.054
463	507	12	0.7956	-44.026
341	481	12	0.8855	-132.084
342	481	12	0.8903	-132.086
462	481	12	0.8538	-8.087
463	508	12	0.7719	-44.028
341	373	12	0.8809	-35.946
342	373	12	0.8801	-35.947
373	462	12	0.8827	-88.052
341	342	12	0.9533	0.001
341	462	12	0.8582	-123.998
280	340	16	0.763	-94.114
322	340	16	0.8198	-28.031
340	351	16	0.8017	-18.010
280	351	16	0.7511	-112.124
322	351	16	0.7771	-46.042
280	322	16	0.7471	-66.082
494	528	18	0.8872	-34.012
377	532	18	0.8249	-156.089
494	532	18	0.8304	-43.033
382	443	18	0.836	-68.993
443	468	18	0.8291	-16.023
443	494	18	0.899	-42.048
353	382	18	0.8245	-23.036
382	494	18	0.8247	-111.041
494	566	18	0.8708	-101.048
326	331	18	0.8356	-14.016
330	444	18	0.8232	-128.057
326	353	18	0.8677	-48.001
449	494	18	0.8463	-40.040
449	504	18	0.8263	-56.025
494	504	18	0.8383	-15.986
471	494	18	0.8302	-25.077
377	444	18	0.8243	-71.037
444	485	18	0.8611	-26.015
377	484	18	0.8261	-97.017
377	494	18	0.8511	-113.056
485	494	18	0.8602	-16.004
377	485	18	0.8383	-97.052
150	167	20	0.8279	-14.015
167	169	20	0.7101	-0.000
168	169	20	0.7633	0.000
174	176	20	0.8788	-0.000
175	176	20	0.8129	-0.000
176	177	20	0.7968	0.000
176	178	20	0.8767	0.000
176	179	20	0.7901	0.000
174	178	20	0.8608	-0.000
175	178	20	0.7908	-0.000
177	178	20	0.7723	-0.000
178	179	20	0.7631	0.000
174	175	20	0.7973	0.000
175	177	20	0.8692	-0.000
175	179	20	0.8787	0.000
174	179	20	0.7817	0.000
177	179	20	0.8871	0.000
168	174	20	0.7273	-2.019
174	177	20	0.7766	0.000
677	679	21	0.8479	-0.987
123	125	22	0.8594	-3.025
124	125	22	0.9385	-2.038
125	126	22	0.9461	-0.002
125	127	22	0.8752	-0.000
125	128	22	0.8758	-0.002
