USI1,USI2,SMILES1,SpectrumID,Compound_Name,CLUSTERID1,CLUSTERID2
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00012315475,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:326,Cc1c(C(=O)Nc2ccc(-n3nc(C(F)(F)F)cc3C(F)(F)F)cc2)snn1,CCMSLIB00012315475,223499-30-7,353,326
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003138079,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:150,CC1=NC=CC2=C1NC3=CC=CC=C23,CCMSLIB00003138079,Spectral Match to Harmane from NIST14,167,150
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003138079,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:169,CC1=NC=CC2=C1NC3=CC=CC=C23,CCMSLIB00003138079,Spectral Match to Harmane from NIST14,167,169
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005743029,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:123,OC1=NCC(=O)N2CCC[C@@H]12,CCMSLIB00005743029,Massbank:PR300401 Cyclo-prolylglycine,125,123
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005743029,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:124,OC1=NCC(=O)N2CCC[C@@H]12,CCMSLIB00005743029,Massbank:PR300401 Cyclo-prolylglycine,125,124
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005743029,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:127,OC1=NCC(=O)N2CCC[C@@H]12,CCMSLIB00005743029,Massbank:PR300401 Cyclo-prolylglycine,125,127
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005743029,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:128,OC1=NCC(=O)N2CCC[C@@H]12,CCMSLIB00005743029,Massbank:PR300401 Cyclo-prolylglycine,125,128
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005743029,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:129,OC1=NCC(=O)N2CCC[C@@H]12,CCMSLIB00005743029,Massbank:PR300401 Cyclo-prolylglycine,126,129
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005743029,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:127,OC1=NCC(=O)N2CCC[C@@H]12,CCMSLIB00005743029,Massbank:PR300401 Cyclo-prolylglycine,126,127
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005743029,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:123,OC1=NCC(=O)N2CCC[C@@H]12,CCMSLIB00005743029,Massbank:PR300401 Cyclo-prolylglycine,126,123
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005743029,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:124,OC1=NCC(=O)N2CCC[C@@H]12,CCMSLIB00005743029,Massbank:PR300401 Cyclo-prolylglycine,126,124
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005743029,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:128,OC1=NCC(=O)N2CCC[C@@H]12,CCMSLIB00005743029,Massbank:PR300401 Cyclo-prolylglycine,126,128
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004693103,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:577,CC(C)CC1OC(=O)C2C(C)CCN2C(=O)CCN=C(O)C(Cc2ccccc2)N=C(O)C(C(C)C)N(C)C(=O)C(C(C)C)N(C)C1=O,CCMSLIB00004693103,"7-benzyl-11,14,20-trimethyl-16-(2-methylpropyl)-10,13-di(propan-2-yl)-17-oxa-1,5,8,11,14-pentazabicyclo[17.3.0]docosane-2,6,9,12,15,18-hexone",575,577
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00012350786,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:301,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,CCMSLIB00012350786,Benzododecinium,282,301
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00012350786,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:302,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,CCMSLIB00012350786,Benzododecinium,282,302
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00012350786,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:303,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,CCMSLIB00012350786,Benzododecinium,282,303
